+──────+─────────+──────────+─────────+──────────+
| RAA  | Wins    | EFscore  | Salary  | Value    |
| 91   | 0.337   | 0.129    | 850000  | 853183   |
| 85   | 0.316   | 0.096    |         | 835330   |
| 82   | 0.304   | 0.097    | 500000  | 825129   |
| 81   | 0.301   | 0.06     | 290000  | 822578   |
| 67   | 0.248   | 0.09     | 2000000 | 777521   |
| 60   | 0.221   | 0.103    | 900000  | 754568   |
| 57   | 0.21    | 0.074    | 160000  | 745216   |
| 53   | 0.197   | 0.042    | 50000   | 734164   |
| 51   | 0.188   | 0.111    | 950000  | 726513   |
| 49   | 0.183   | 0.101    | 900000  | 722262   |
| 49   | 0.183   | 0.038    | 150000  | 722262   |
| 47   | 0.173   | 0.105    |         | 713761   |
| 42   | 0.157   | 0.051    | 850000  | 700159   |
| 42   | 0.157   | 0.028    | 100000  | 700159   |
| 42   | 0.155   | 0.051    | 1000000 | 698459   |
| 41   | 0.151   | 0.088    | 1500000 | 695058   |
| 40   | 0.147   | 0.051    |         | 691658   |
| 36   | 0.133   | 0.047    | 100000  | 679756   |
| 33   | 0.121   | 0.061    |         | 669554   |
| 32   | 0.12    | 0.019    |         | 668704   |
| 32   | 0.119   | 0.094    | 1200000 | 667854   |
| 30   | 0.112   | 0.038    | 140000  | 661903   |
| 29   | 0.109   | 0.025    |         | 659352   |
| 28   | 0.106   | 0.04     |         | 656802   |
| 28   | 0.104   | 0.116    | 850000  | 655102   |
| 27   | 0.1     | 0.087    | 700000  | 651701   |
| 27   | 0.098   | 0.031    | 1100000 | 650001   |
| 26   | 0.097   | 0.022    |         | 649151   |
| 26   | 0.096   | 0.024    | 200000  | 648301   |
| 24   | 0.09    | 0.123    | 675000  | 643200   |
| 24   | 0.09    | 0.079    | 700000  | 643200   |
| 23   | 0.087   | 0.081    | 475000  | 640650   |
| 22   | 0.082   | 0.047    | 300000  | 636399   |
| 22   | 0.08    | 0.013    |         | 634699   |
| 21   | 0.077   | 0.01     |         | 632148   |
| 19   | 0.07    | 0.067    | 900000  | 626197   |
| 18   | 0.067   | 0.04     |         | 623647   |
| 17   | 0.062   | 0.01     |         | 619396   |
| 15   | 0.056   | 0.086    | 750000  | 614295   |
| 14   | 0.051   | 0.061    |         | 610045   |
| 13   | 0.05    | 0.018    |         | 609195   |
| 13   | 0.047   | 0.065    |         | 606644   |
| 12   | 0.045   | 0.092    | 475000  | 604944   |
| 11   | 0.043   | 0.028    |         | 603244   |
| 10   | 0.036   | 0.071    | 2100000 | 597293   |
| 9    | 0.035   | 0.064    |         | 596442   |
| 9    | 0.032   | 0.125    | 650000  | 593892   |
| 8    | 0.031   | 0.102    | 350000  | 593042   |
| 8    | 0.031   | 0.054    | 1600000 | 593042   |
| 8    | 0.029   | 0.036    |         | 591342   |
| 5    | 0.018   | 0.041    | 100000  | 581990   |
| 4    | 0.015   | 0.076    | 450000  | 579440   |
| 2    | 0.008   | 0.077    | 100000  | 573489   |
| 1    | 0.003   | 0.004    |         | 569238   |
| -1   | -0.002  | 0.017    | 400000  | 564987   |
| -2   | -0.007  | 0.094    | 550000  | 560737   |
| -3   | -0.012  | 0.124    | 125000  | 556486   |
| -4   | -0.014  | 0.016    | 300000  | 554786   |
| -6   | -0.022  | 0.064    |         | 547985   |
| -7   | -0.024  | 0.02     | 290000  | 546285   |
| -7   | -0.025  | 0.042    |         | 545434   |
| -7   | -0.025  | 0.003    |         | 545434   |
| -8   | -0.028  | 0.009    | 400000  | 542884   |
| -8   | -0.029  | 0.005    | 325000  | 542034   |
| -8   | -0.029  | 0.037    | 200000  | 542034   |
| -8   | -0.03   | 0.001    | 200000  | 541184   |
| -9   | -0.033  | 0.045    |         | 538633   |
| -9   | -0.034  | 0.027    |         | 537783   |
| -9   | -0.035  | 0.015    |         | 536933   |
| -10  | -0.036  | 0.029    |         | 536083   |
| -10  | -0.036  | 0.005    |         | 536083   |
| -10  | -0.036  | 0.005    |         | 536083   |
| -12  | -0.044  | 0.002    |         | 529282   |
| -12  | -0.044  | 0.001    |         | 529282   |
| -13  | -0.048  | 0.001    |         | 525881   |
| -14  | -0.051  | 0.004    |         | 523331   |
| -15  | -0.057  | 0.049    | 210000  | 518230   |
| -16  | -0.059  | 0.001    |         | 516530   |
| -17  | -0.062  | 0        |         | 513979   |
| -17  | -0.062  | 0.002    |         | 513979   |
| -18  | -0.067  | 0.031    | 350000  | 509729   |
| -18  | -0.067  | 0.077    | 450000  | 509729   |
| -18  | -0.067  | 0.001    | 20000   | 509729   |
| -18  | -0.067  | 0        |         | 509729   |
| -19  | -0.071  | 0.094    | 500000  | 506328   |
| -20  | -0.073  | 0.049    |         | 504628   |
| -20  | -0.074  | 0.001    |         | 503778   |
| -20  | -0.074  | 0.001    | 325000  | 503778   |
| -20  | -0.075  | 0.018    |         | 502928   |
| -21  | -0.077  | 0.001    |         | 501227   |
| -23  | -0.085  | 0.001    |         | 494426   |
| -24  | -0.088  | 0.005    |         | 491876   |
| -25  | -0.094  | 0.02     |         | 486775   |
| -26  | -0.096  | 0.004    |         | 485075   |
| -26  | -0.096  | 0        | 80000   | 485075   |
| -29  | -0.109  | 0.059    |         | 474023   |
| -29  | -0.109  | 0.02     | 75000   | 474023   |
| -29  | -0.109  | 0.044    | 290000  | 474023   |
| -30  | -0.11   | 0.005    | 100000  | 473173   |
| -30  | -0.11   | 0.026    |         | 473173   |
| -30  | -0.113  | 0.01     |         | 470622   |
| -31  | -0.116  | 0.017    |         | 468072   |
| -32  | -0.118  | 0.009    |         | 466372   |
| -33  | -0.122  | 0        |         | 462971   |
| -33  | -0.124  | 0.054    | 250000  | 461271   |
| -34  | -0.126  | 0.007    | 100000  | 459571   |
| -34  | -0.128  | 0.008    |         | 457870   |
| -35  | -0.129  | 0.001    |         | 457020   |
| -35  | -0.13   | 0.025    | 20000   | 456170   |
| -36  | -0.132  | 0.033    |         | 454470   |
| -36  | -0.133  | 0.035    |         | 453620   |
| -36  | -0.135  | 0.009    | 130000  | 451920   |
| -36  | -0.135  | 0.011    |         | 451920   |
| -37  | -0.138  | 0.053    | 900000  | 449369   |
| -38  | -0.14   | 0.126    | 950000  | 447669   |
| -39  | -0.145  | 0.001    |         | 443418   |
| -40  | -0.147  | 0.033    |         | 441718   |
| -40  | -0.148  | 0.006    | 250000  | 440868   |
| -41  | -0.151  | 0.024    | 375000  | 438317   |
| -41  | -0.151  | 0.002    | 80000   | 438317   |
| -41  | -0.152  | 0.001    |         | 437467   |
| -42  | -0.155  | 0.002    | 270000  | 434917   |
| -43  | -0.161  | 0.006    | 700000  | 429816   |
| -44  | -0.163  | 0.105    | 325000  | 428116   |
| -45  | -0.166  | 0.001    |         | 425565   |
| -47  | -0.174  | 0.001    |         | 418764   |
| -47  | -0.174  | 0.001    |         | 418764   |
| -48  | -0.18   | 0.007    |         | 413663   |
| -50  | -0.184  | 0.001    |         | 410263   |
| -52  | -0.193  | 0.011    | 20000   | 402612   |
| -52  | -0.194  | 0.01     |         | 401762   |
| -52  | -0.194  | 0.007    | 50000   | 401762   |
| -55  | -0.206  | 0.003    | 100000  | 391560   |
| -56  | -0.209  | 0.08     | 150000  | 389010   |
| -58  | -0.214  | 0.018    |         | 384759   |
| -58  | -0.215  | 0.001    | 150000  | 383909   |
| -59  | -0.221  | 0.002    |         | 378808   |
| -60  | -0.222  | 0.058    | 650000  | 377958   |
| -61  | -0.225  | 0.045    |         | 375407   |
| -61  | -0.227  | 0.009    | 500000  | 373707   |
| -62  | -0.229  | 0.003    |         | 372007   |
| -62  | -0.23   | 0.008    |         | 371157   |
| -63  | -0.234  | 0.02     | 190000  | 367756   |
| -64  | -0.236  | 0.023    |         | 366056   |
| -64  | -0.238  | 0.077    | 300000  | 364356   |
| -68  | -0.251  | 0.118    | 1900000 | 353304   |
| -68  | -0.251  | 0.007    |         | 353304   |
| -74  | -0.274  | 0.05     |         | 333751   |
| -75  | -0.279  | 0.013    | 180000  | 329500   |
| -77  | -0.286  | 0.046    |         | 323549   |
| -79  | -0.294  | 0.018    | 1100000 | 316748   |
| -81  | -0.301  | 0.025    |         | 310797   |
| -83  | -0.309  | 0.027    | 50000   | 303996   |
| -86  | -0.319  | 0.02     | 80000   | 295495   |
| -86  | -0.319  | 0.034    | 80000   | 295495   |
| -91  | -0.337  | 0.064    | 500000  | 280192   |
| -94  | -0.35   | 0.083    | 475000  | 269140   |
| -101 | -0.375  | 0.102    | 900000  | 247887   |
| -103 | -0.383  | 0.019    | 1400000 | 241086   |
| -109 | -0.406  | 0.02     | 800000  | 221533   |
| -113 | -0.42   | 0.007    |         | 209631   |
| -117 | -0.435  | 0.106    | 900000  | 196879   |
| -118 | -0.437  | 0.055    |         | 195179   |
| -120 | -0.445  | 0.009    | 300000  | 188378   |
| -126 | -0.469  | 0.066    | 800000  | 167974   |
| -136 | -0.505  | 0.017    |         | 137370   |
| -140 | -0.519  | 0.013    |         | 125468   |
| -148 | -0.549  | 0.013    | 400000  | 99964    |
| -176 | -0.652  | 0.033    | 270000  | 12400    |
| -186 | -0.691  | 0.023    |         | -20756   |
| -196 | -0.727  | 0.091    | 750000  | -51360   |
| -216 | -0.801  | 0.041    | 400000  | -114270  |
| -228 | -0.847  | 0.039    | 260000  | -153377  |
| 354  | 1.286   | 0.212    | 650000  | 1644515  |
| 304  | 1.103   | 0.208    | 300000  | 1500824  |
| 298  | 1.082   | 0.187    | 700000  | 1484335  |
| 221  | 0.804   | 0.148    | 2400000 | 1266050  |
| 217  | 0.787   | 0.156    |         | 1252702  |
| 199  | 0.721   | 0.174    | 475000  | 1200879  |
| 190  | 0.69    | 0.126    | 1100000 | 1176538  |
| 175  | 0.634   | 0.124    | 1400000 | 1132567  |
| 172  | 0.624   | 0.172    |         | 1124715  |
| 155  | 0.563   | 0.106    | 200000  | 1076818  |
| 147  | 0.533   | 0.105    |         | 1053262  |
| 147  | 0.532   | 0.115    |         | 1052477  |
| 140  | 0.51    | 0.096    | 500000  | 1035202  |
| 124  | 0.45    | 0.088    | 1550000 | 988090   |
| 118  | 0.428   | 0.095    |         | 970816   |
| 115  | 0.417   | 0.185    | 200000  | 962179   |
| 109  | 0.397   | 0.066    |         | 946475   |
| 106  | 0.384   | 0.087    | 1100000 | 936267   |
| 103  | 0.372   | 0.089    | 425000  | 926845   |
| 101  | 0.365   | 0.057    |         | 921349   |
| 99   | 0.359   | 0.116    | 125000  | 916637   |
| 95   | 0.346   | 0.085    |         | 906430   |
| 94   | 0.342   | 0.095    | 220000  | 903289   |
| 94   | 0.341   | 0.089    | 1500000 | 902504   |
| 94   | 0.34    | 0.114    |         | 901719   |
| 93   | 0.338   | 0.092    | 300000  | 900148   |
| 87   | 0.316   | 0.117    | 1200000 | 882874   |
| 86   | 0.314   | 0.091    |         | 881304   |
| 86   | 0.311   | 0.066    | 375000  | 878948   |
| 80   | 0.291   | 0.133    | 200000  | 863244   |
| 80   | 0.291   | 0.084    | 50000   | 863244   |
| 78   | 0.282   | 0.162    | 750000  | 856177   |
| 74   | 0.268   | 0.118    | 2000000 | 845184   |
| 74   | 0.268   | 0.066    | 325000  | 845184   |
| 71   | 0.258   | 0.063    | 750000  | 837332   |
| 71   | 0.258   | 0.089    | 1400000 | 837332   |
| 66   | 0.241   | 0.058    | 900000  | 823984   |
| 66   | 0.24    | 0.053    | 80000   | 823199   |
| 66   | 0.24    | 0.092    | 400000  | 823199   |
| 64   | 0.234   | 0.103    | 425000  | 818488   |
| 61   | 0.221   | 0.119    | 500000  | 808280   |
| 60   | 0.218   | 0.033    | 50000   | 805925   |
| 54   | 0.196   | 0.101    |         | 788650   |
| 52   | 0.189   | 0.043    |         | 783154   |
| 50   | 0.18    | 0.043    | 50000   | 776087   |
| 48   | 0.173   | 0.08     |         | 770591   |
| 46   | 0.167   | 0.043    |         | 765880   |
| 45   | 0.164   | 0.029    |         | 763524   |
| 44   | 0.161   | 0.058    |         | 761168   |
| 43   | 0.158   | 0.056    | 300000  | 758813   |
| 41   | 0.148   | 0.048    | 700000  | 750961   |
| 40   | 0.146   | 0.066    | 475000  | 749390   |
| 38   | 0.136   | 0.057    | 800000  | 741538   |
| 37   | 0.134   | 0.102    | 700000  | 739968   |
| 35   | 0.129   | 0.094    | 2100000 | 736042   |
| 28   | 0.102   | 0.05     |         | 714842   |
| 25   | 0.091   | 0.083    | 650000  | 706205   |
| 23   | 0.083   | 0.087    | 100000  | 699923   |
| 21   | 0.075   | 0.03     |         | 693641   |
| 20   | 0.073   | 0.024    |         | 692071   |
| 16   | 0.06    | 0.042    |         | 681863   |
| 16   | 0.057   | 0.038    |         | 679508   |
| 16   | 0.057   | 0.12     |         | 679508   |
| 15   | 0.054   | 0.029    | 100000  | 677152   |
| 13   | 0.049   | 0.031    |         | 673226   |
| 13   | 0.047   | 0.04     |         | 671656   |
| 12   | 0.044   | 0.043    |         | 669300   |
| 10   | 0.037   | 0.066    | 100000  | 663804   |
| 10   | 0.035   | 0.094    |         | 662233   |
| 9    | 0.032   | 0.049    |         | 659878   |
| 7    | 0.025   | 0.015    |         | 654382   |
| 6    | 0.021   | 0.028    | 70000   | 651241   |
| 4    | 0.015   | 0.065    |         | 646530   |
| 3    | 0.012   | 0.069    | 150000  | 644174   |
| 3    | 0.012   | 0.019    |         | 644174   |
| 2    | 0.008   | 0.013    | 300000  | 641033   |
| 2    | 0.007   | 0.001    |         | 640248   |
| 0    | 0       | 0.126    | 1000000 | 634752   |
| -1   | -0.003  | 0.091    | 900000  | 632396   |
| -1   | -0.003  | 0.084    |         | 632396   |
| -1   | -0.005  | 0.068    | 900000  | 630826   |
| -1   | -0.005  | 0.007    |         | 630826   |
| -3   | -0.012  | 0.018    |         | 625329   |
| -4   | -0.015  | 0.022    | 190000  | 622974   |
| -6   | -0.022  | 0.017    |         | 617477   |
| -6   | -0.023  | 0.015    | 50000   | 616692   |
| -7   | -0.025  | 0.085    |         | 615122   |
| -7   | -0.026  | 0.116    | 650000  | 614336   |
| -8   | -0.029  | 0.003    |         | 611981   |
| -8   | -0.029  | 0.058    | 270000  | 611981   |
| -9   | -0.033  | 0.069    |         | 608840   |
| -9   | -0.033  | 0.057    | 475000  | 608840   |
| -9   | -0.034  | 0.179    | 1100000 | 608055   |
| -11  | -0.038  | 0.042    |         | 604914   |
| -11  | -0.038  | 0.004    |         | 604914   |
| -12  | -0.045  | 0.002    | 130000  | 599418   |
| -13  | -0.048  | 0.015    |         | 597062   |
| -14  | -0.051  | 0.013    |         | 594707   |
| -15  | -0.054  | 0.007    |         | 592351   |
| -16  | -0.058  | 0.001    |         | 589210   |
| -17  | -0.061  | 0.009    |         | 586855   |
| -19  | -0.067  | 0.019    |         | 582143   |
| -19  | -0.068  | 0.066    | 180000  | 581358   |
| -19  | -0.07   | 0.041    | 1600000 | 579788   |
| -20  | -0.074  | 0.002    |         | 576647   |
| -20  | -0.074  | 0.001    |         | 576647   |
| -20  | -0.074  | 0.002    | 100000  | 576647   |
| -22  | -0.08   | 0.005    |         | 571936   |
| -22  | -0.081  | 0        |         | 571151   |
| -23  | -0.083  | 0.003    | 650000  | 569580   |
| -24  | -0.086  | 0.01     | 800000  | 567225   |
| -24  | -0.087  | 0.001    |         | 566439   |
| -24  | -0.089  | 0.02     | 210000  | 564869   |
| -25  | -0.09   | 0.017    |         | 564084   |
| -26  | -0.094  | 0.022    |         | 560943   |
| -26  | -0.094  | 0.031    | 700000  | 560943   |
| -26  | -0.096  | 0        | 20000   | 559373   |
| -26  | -0.096  | 0        | 190000  | 559373   |
| -26  | -0.096  | 0        |         | 559373   |
| -29  | -0.106  | 0.015    | 300000  | 551521   |
| -30  | -0.109  | 0.001    |         | 549165   |
| -31  | -0.114  | 0.007    | 150000  | 545239   |
| -32  | -0.116  | 0.001    | 260000  | 543669   |
| -32  | -0.116  | 0        |         | 543669   |
| -32  | -0.116  | 0.001    | 180000  | 543669   |
| -32  | -0.118  | 0.029    |         | 542098   |
| -33  | -0.121  | 0.07     |         | 539743   |
| -34  | -0.123  | 0.003    |         | 538172   |
| -34  | -0.123  | 0.109    | 900000  | 538172   |
| -34  | -0.125  | 0.001    |         | 536602   |
| -35  | -0.128  | 0.024    | 100000  | 534246   |
| -36  | -0.129  | 0.071    |         | 533461   |
| -38  | -0.137  | 0.003    |         | 527180   |
| -38  | -0.137  | 0.001    |         | 527180   |
| -38  | -0.137  | 0.002    |         | 527180   |
| -40  | -0.144  | 0.059    |         | 521683   |
| -42  | -0.153  | 0.006    |         | 514616   |
| -46  | -0.165  | 0.044    | 1000000 | 505194   |
| -47  | -0.17   | 0.03     |         | 501268   |
| -47  | -0.17   | 0.058    |         | 501268   |
| -49  | -0.177  | 0        |         | 495772   |
| -51  | -0.187  | 0.06     |         | 487920   |
| -52  | -0.189  | 0.006    |         | 486349   |
| -52  | -0.189  | 0.037    |         | 486349   |
| -54  | -0.195  | 0.016    |         | 481638   |
| -54  | -0.197  | 0.037    | 160000  | 480068   |
| -55  | -0.198  | 0.042    |         | 479282   |
| -60  | -0.217  | 0.095    | 850000  | 464364   |
| -60  | -0.218  | 0.003    |         | 463579   |
| -60  | -0.219  | 0.056    |         | 462793   |
| -61  | -0.223  | 0        |         | 459653   |
| -62  | -0.226  | 0.003    | 700000  | 457297   |
| -63  | -0.227  | 0.082    | 300000  | 456512   |
| -63  | -0.229  | 0.011    |         | 454941   |
| -64  | -0.234  | 0.05     |         | 451015   |
| -69  | -0.25   | 0.021    |         | 438452   |
| -69  | -0.25   | 0.1      | 2000000 | 438452   |
| -71  | -0.259  | 0        |         | 431385   |
| -74  | -0.269  | 0.037    | 650000  | 423533   |
| -75  | -0.274  | 0.017    |         | 419607   |
| -76  | -0.277  | 0.013    |         | 417252   |
| -79  | -0.286  | 0.047    | 900000  | 410185   |
| -85  | -0.31   | 0.051    |         | 391340   |
| -86  | -0.311  | 0.064    | 600000  | 390555   |
| -86  | -0.312  | 0.07     |         | 389770   |
| -90  | -0.328  | 0.041    | 700000  | 377207   |
| -94  | -0.34   | 0.064    | 400000  | 367784   |
| -96  | -0.348  | 0.113    | 900000  | 361503   |
| -98  | -0.354  | 0.068    |         | 356792   |
| -98  | -0.356  | 0.066    |         | 355221   |
| -102 | -0.369  | 0.049    |         | 345014   |
| -102 | -0.37   | 0.061    | 950000  | 344229   |
| -103 | -0.372  | 0.11     | 675000  | 342658   |
| -106 | -0.383  | 0.008    |         | 334021   |
| -118 | -0.428  | 0.005    |         | 298687   |
| -119 | -0.43   | 0.029    |         | 297117   |
| -120 | -0.437  | 0.036    | 400000  | 291620   |
| -123 | -0.446  | 0.027    |         | 284554   |
| -124 | -0.449  | 0.036    | 550000  | 282198   |
| -137 | -0.498  | 0.052    |         | 243723   |
| -138 | -0.499  | 0.046    |         | 242938   |
| -138 | -0.502  | 0.017    | 450000  | 240582   |
| -143 | -0.518  | 0.079    | 400000  | 228019   |
| -144 | -0.523  | 0.023    | 290000  | 224093   |
| -160 | -0.58   | 0.087    | 800000  | 179337   |
| -165 | -0.598  | 0.065    | 2100000 | 165204   |
| -231 | -0.839  | 0.091    | 1900000 | -24029   |
| -339 | -1.231  | 0.061    | 850000  | -331826  |
| 447  | 1.729   | 0.21     | 2000000 | 2554267  |
| 414  | 1.602   | 0.224    | 425000  | 2419187  |
| 339  | 1.311   | 0.179    | 1800000 | 2109674  |
| 258  | 1.001   | 0.218    | 200000  | 1779953  |
| 253  | 0.981   | 0.143    | 1300000 | 1758680  |
| 245  | 0.949   | 0.134    | 100000  | 1724645  |
| 239  | 0.924   | 0.139    | 3000000 | 1698054  |
| 226  | 0.876   | 0.213    | 1300000 | 1647000  |
| 214  | 0.829   | 0.207    | 400000  | 1597010  |
| 212  | 0.82    | 0.121    | 2000000 | 1587438  |
| 168  | 0.651   | 0.14     | 300000  | 1407686  |
| 168  | 0.65    | 0.138    | 1300000 | 1406623  |
| 164  | 0.634   | 0.17     | 900000  | 1389605  |
| 150  | 0.582   | 0.122    |         | 1334297  |
| 143  | 0.555   | 0.132    | 700000  | 1305579  |
| 142  | 0.551   | 0.109    | 60000   | 1301324  |
| 138  | 0.535   | 0.1      | 300000  | 1284307  |
| 138  | 0.533   | 0.079    | 1100000 | 1282179  |
| 134  | 0.52    | 0.158    | 1000000 | 1268352  |
| 117  | 0.453   | 0.082    | 475000  | 1197090  |
| 111  | 0.429   | 0.141    | 1200000 | 1171563  |
| 110  | 0.424   | 0.095    | 750000  | 1166245  |
| 109  | 0.421   | 0.104    | 1200000 | 1163054  |
| 102  | 0.396   | 0.087    | 400000  | 1136464  |
| 101  | 0.389   | 0.098    | 500000  | 1129018  |
| 97   | 0.375   | 0.162    | 300000  | 1114128  |
| 89   | 0.345   | 0.1      | 2100000 | 1082219  |
| 87   | 0.336   | 0.103    | 300000  | 1072646  |
| 86   | 0.331   | 0.111    |         | 1067328  |
| 85   | 0.329   | 0.107    | 425000  | 1065201  |
| 84   | 0.326   | 0.117    | 100000  | 1062010  |
| 84   | 0.324   | 0.086    | 300000  | 1059883  |
| 81   | 0.312   | 0.054    |         | 1047120  |
| 78   | 0.304   | 0.067    | 900000  | 1038611  |
| 62   | 0.242   | 0.088    | 2100000 | 972666   |
| 61   | 0.237   | 0.091    | 2400000 | 967348   |
| 60   | 0.233   | 0.045    |         | 963094   |
| 60   | 0.232   | 0.066    | 350000  | 962030   |
| 56   | 0.215   | 0.054    |         | 943949   |
| 55   | 0.211   | 0.096    |         | 939694   |
| 39   | 0.151   | 0.044    |         | 875877   |
| 37   | 0.142   | 0.043    |         | 866305   |
| 34   | 0.132   | 0.037    |         | 855668   |
| 34   | 0.132   | 0.037    |         | 855668   |
| 29   | 0.113   | 0.018    |         | 835460   |
| 26   | 0.102   | 0.063    | 625000  | 823760   |
| 24   | 0.094   | 0.028    |         | 815251   |
| 22   | 0.086   | 0.088    | 900000  | 806742   |
| 22   | 0.086   | 0.114    | 200000  | 806742   |
| 16   | 0.06    | 0.078    | 900000  | 779088   |
| 15   | 0.059   | 0.066    | 1800000 | 778024   |
| 13   | 0.05    | 0.006    |         | 768452   |
| 13   | 0.048   | 0.035    |         | 766324   |
| 12   | 0.047   | 0.021    | 400000  | 765261   |
| 12   | 0.045   | 0.018    | 150000  | 763134   |
| 10   | 0.04    | 0.014    |         | 757815   |
| 10   | 0.04    | 0.027    | 1600000 | 757815   |
| 9    | 0.033   | 0.018    | 300000  | 750370   |
| 8    | 0.033   | 0.046    |         | 750370   |
| 7    | 0.029   | 0.037    | 160000  | 746116   |
| 7    | 0.028   | 0.099    | 290000  | 745052   |
| 7    | 0.027   | 0.015    |         | 743988   |
| 7    | 0.026   | 0.011    |         | 742925   |
| 5    | 0.018   | 0.009    |         | 734416   |
| 4    | 0.017   | 0.109    | 2000000 | 733352   |
| 4    | 0.014   | 0.008    |         | 730161   |
| 2    | 0.008   | 0.157    | 1100000 | 723780   |
| 1    | 0.004   | 0.017    |         | 719525   |
| 0    | 0.001   | 0.006    | 200000  | 716334   |
| 0    | -0.002  | 0.03     |         | 713143   |
| -1   | -0.002  | 0.085    | 800000  | 713143   |
| -1   | -0.004  | 0.068    | 600000  | 711016   |
| -1   | -0.004  | 0.001    |         | 711016   |
| -2   | -0.009  | 0.062    | 650000  | 705698   |
| -4   | -0.015  | 0.036    |         | 699316   |
| -4   | -0.016  | 0.013    | 100000  | 698253   |
| -5   | -0.021  | 0.01     |         | 692935   |
| -5   | -0.021  | 0.029    |         | 692935   |
| -6   | -0.022  | 0.006    |         | 691871   |
| -6   | -0.024  | 0.005    |         | 689744   |
| -7   | -0.026  | 0.019    | 700000  | 687617   |
| -7   | -0.028  | 0.005    |         | 685489   |
| -7   | -0.029  | 0.009    |         | 684426   |
| -8   | -0.032  | 0.054    | 500000  | 681235   |
| -9   | -0.033  | 0.015    |         | 680171   |
| -9   | -0.034  | 0.004    |         | 679108   |
| -9   | -0.034  | 0.019    | 50000   | 679108   |
| -10  | -0.037  | 0.1      | 50000   | 675917   |
| -10  | -0.04   | 0.07     | 290000  | 672726   |
| -10  | -0.04   | 0.065    | 1800000 | 672726   |
| -11  | -0.041  | 0.002    |         | 671662   |
| -11  | -0.041  | 0.153    | 650000  | 671662   |
| -12  | -0.046  | 0.001    |         | 666344   |
| -12  | -0.046  | 0.032    |         | 666344   |
| -15  | -0.057  | 0.002    |         | 654644   |
| -16  | -0.061  | 0.001    | 270000  | 650390   |
| -17  | -0.065  | 0.005    |         | 646135   |
| -17  | -0.066  | 0.004    | 100000  | 645072   |
| -18  | -0.069  | 0.066    | 1400000 | 641881   |
| -18  | -0.069  | 0.003    |         | 641881   |
| -19  | -0.072  | 0.001    | 900000  | 638690   |
| -19  | -0.072  | 0.002    |         | 638690   |
| -19  | -0.074  | 0.009    | 450000  | 636563   |
| -20  | -0.076  | 0.001    |         | 634436   |
| -20  | -0.076  | 0.001    |         | 634436   |
| -20  | -0.077  | 0.002    | 100000  | 633372   |
| -20  | -0.077  | 0.034    |         | 633372   |
| -21  | -0.081  | 0.002    | 50000   | 629118   |
| -22  | -0.084  | 0        |         | 625927   |
| -23  | -0.089  | 0.007    |         | 620609   |
| -23  | -0.09   | 0.026    |         | 619545   |
| -23  | -0.09   | 0.026    | 50000   | 619545   |
| -24  | -0.092  | 0        |         | 617418   |
| -25  | -0.096  | 0        |         | 613163   |
| -25  | -0.097  | 0.007    | 400000  | 612100   |
| -25  | -0.097  | 0.103    | 1100000 | 612100   |
| -26  | -0.101  | 0.001    |         | 607845   |
| -27  | -0.106  | 0.007    |         | 602527   |
| -29  | -0.112  | 0.001    | 180000  | 596145   |
| -29  | -0.114  | 0.001    |         | 594018   |
| -30  | -0.116  | 0.001    |         | 591891   |
| -31  | -0.121  | 0.047    |         | 586573   |
| -33  | -0.128  | 0.001    |         | 579128   |
| -34  | -0.132  | 0.003    | 260000  | 574873   |
| -34  | -0.132  | 0.001    |         | 574873   |
| -35  | -0.137  | 0.002    |         | 569555   |
| -36  | -0.139  | 0.038    |         | 567428   |
| -36  | -0.139  | 0.014    | 1000000 | 567428   |
| -36  | -0.141  | 0.007    |         | 565300   |
| -36  | -0.141  | 0.007    | 1000000 | 565300   |
| -36  | -0.141  | 0.046    |         | 565300   |
| -37  | -0.144  | 0.018    |         | 562110   |
| -38  | -0.146  | 0.014    |         | 559982   |
| -38  | -0.146  | 0.01     | 725000  | 559982   |
| -39  | -0.153  | 0.024    | 200000  | 552537   |
| -39  | -0.153  | 0.015    |         | 552537   |
| -41  | -0.158  | 0.025    |         | 547219   |
| -41  | -0.16   | 0.061    |         | 545092   |
| -43  | -0.166  | 0.062    | 525000  | 538710   |
| -44  | -0.169  | 0.006    |         | 535519   |
| -44  | -0.17   | 0.003    |         | 534456   |
| -45  | -0.174  | 0.002    |         | 530201   |
| -45  | -0.176  | 0.001    |         | 528074   |
| -46  | -0.178  | 0.023    |         | 525947   |
| -47  | -0.183  | 0.026    |         | 520629   |
| -48  | -0.188  | 0.015    |         | 515310   |
| -49  | -0.189  | 0.018    | 800000  | 514247   |
| -49  | -0.19   | 0.004    |         | 513183   |
| -51  | -0.199  | 0.014    | 725000  | 503611   |
| -54  | -0.209  | 0.047    | 1100000 | 492974   |
| -54  | -0.21   | 0.015    |         | 491911   |
| -55  | -0.215  | 0.012    |         | 486593   |
| -56  | -0.216  | 0.081    | 625000  | 485529   |
| -56  | -0.218  | 0.03     | 900000  | 483402   |
| -57  | -0.219  | 0.022    | 475000  | 482338   |
| -57  | -0.223  | 0.017    | 650000  | 478084   |
| -58  | -0.225  | 0.024    |         | 475957   |
| -59  | -0.228  | 0.004    |         | 472766   |
| -61  | -0.236  | 0.001    |         | 464257   |
| -61  | -0.237  | 0.071    | 1800000 | 463193   |
| -62  | -0.24   | 0.02     | 700000  | 460002   |
